Image,Correlation,Chi-Square,Intersection,Bhattacharyya
1.jpg,1.0,0.0,1.0,0.0
10.jpg,0.0,0.04670263631397908,0.0015941949095272297,0.9874410091539718
11.jpg,0.07808491730637954,0.04378228818917265,0.08080287193660701,0.7969644912821274
12.jpg,0.08024140132610544,0.20318893699203275,0.0687735960277411,0.7675457382906192
13.jpg,0.10658243471604621,0.004274623522796687,0.013591677532055936,0.7620854216404315
14.jpg,0.035463620010120225,0.006722178576771459,0.014671020140292541,0.934588666252676
15.jpg,0.007247275819193656,0.34701616413146713,0.003654948038976711,1.0
16.jpg,0.012341097643618628,0.013060610903820685,0.0,0.9342456760534161
17.jpg,0.005676526395411566,0.05375628701582112,0.012925857384013925,0.9392999535631794
18.jpg,0.382231775172885,0.003696638924066116,0.11555222932521725,0.6995920246048895
19.jpg,0.016787704911439962,0.07583784208222732,0.023855443291416173,0.9059033726964232
2.jpg,0.320996620238689,0.11509500503247408,0.22307210647881376,0.6624636463627541
20.jpg,0.009666449184692687,1.0,0.079071157283584,0.9308606856825642
3.jpg,0.2828307387217469,0.004174659474300207,0.058106995767800824,0.5353587223938572
4.jpg,0.6225606904630585,0.0037641596729213827,0.33047269999197154,0.5362491712494392
5.jpg,0.1825142493532944,0.020014867813965255,0.15248643051227925,0.6972016335786151
6.jpg,0.3749295679152783,0.01312156169326856,0.24794238324987072,0.5886790206111427
7.jpg,0.11334790436400496,0.005606571966533994,0.0820289588260483,0.7444865643872229
8.jpg,0.16149553379742304,0.010790880177132771,0.1090754134078627,0.727727327548792
9.jpg,0.08331177064851965,0.3150432632359385,0.039281105877154415,0.8035884442771187
